,names,roaster,roast,loc_country,origin_,100g_USD,rating
164,Signature Hazelnut Dark Chocolate,Creation Food Co.,,,,3.4,
165,Signature Floral Orange,,,,,,
166,El Salvador,Conscious Cup Coffee Roasters,,,Chalatenango Growing Region,7.33,
167,Kiniyota Espresso,,,,,,
168,Guardian Spirit Espresso Blend,Modern Times Coffee,,,,,
169,Kenya Nyeri Rumukia Peaberry,,,,,6.83,
170,Kenya Nyeri Karuthi AA,Direct Coffee,,,,8.88,
171,El Obraje Geisha,,,,,15.43,
172,Burundi,,,,Burundi,,
173,Mirador Colombia,,,,Nariño Department,,
175,Brazil Carmo de Minas Natural,,,,Carmo De Minas Growing Region,,
176,Brazil Pulped Natural,Nook Bakery & Coffee Bar,,,Southern Minas Gerais State,5.64,
177,Minas Gerais Isaias Ferreira No. 2,Novel Coffee Roasters,,,,,
178,Brasil Ipanema Premier Cru Gold B69 Natural,Back Home Coffee,,,Sul De Minas Growing Region,5.92,
179,Brazil Fazenda São Bento,,,,,,
180,Fazenda Recreio Bourbon Pulped Natural,Auto Coffee,,,,3.19,
181,Brazil Ouro de Minas Pulped Natural,,,,Minas Gerais State,,
182,Ethiopia Natural Yirgacheffe Adado Shara,Aether Coffee,,,Ethiopia Natural Yirgacheffe Adado Shara,4.4,
183,No. 7 Espresso Blend,The Curve Coffee Roasting Co.,,,,,
184,Kenya Embu Uteuzi Jimbo,,,,Embu County,,
185,Ethiopia Dumerso,,,,,8.5,
186,Sumatra Batak Naga Saribu,,,,,3.68,
187,Replay Espresso,,,,,3.67,
188,Burundi Gaharo Hill Long Miles Coffee Project Natural,Mustard Seed Cafe,,,Kayanza Province,9.16,
189,,Novo Coffee,,,,,
190,Burundi Gahahe Washing Station Microlot Honey,Oughtred Roasting Works,,,,2.65,
191,Rwanda Cyato,,,,Nyamasheke,,
192,Rwanda Hingakawa Women’s Co-op Fair Trade,,,,Gakenke District,,
193,Uganda Kapchorwa,Oceana Coffee,,,Kapchorwa District,,
194,Burundi Gitwe Natural Bourbon,Olympia Coffee Roasting,,,,4.52,
195,Gahahe Burundi Natural,,,,,,
196,Burundi Long Miles Coffee Project Natural,,,,,9.24,
197,Long Miles Coffee Project Nkonge Hill Burundi Red Honey,,,,,5.31,
198,Tarime Tanzania,,,,Tarime District,,
199,Burundi Nkonge Hill Red Honey,,,,,,
201,Tano Batak Sumatra,,,,,5.44,
202,Flight Espresso,,,,,,
203,Zambia AAA/AA,,,,Zambia,,
204,Sumatra Batak Naga Saribu M-Plus,,,,,,
205,Ethiopia Guji Natural Dasaya G1,Small Eyes Cafe,,,,,
206,Dandelion Espresso Blend,Lin's Home Roasters,,,,8.46,
207,Choice Caramel Dried Prune,,,,,6.02,
208,Espresso Blend,Pop Coffee Works,,,,4.5,
209,Cold Brew,Barefoot Coffee Roasters,,,,0.12,
210,Brazil Fazenda Sertãozinho,,,,São Sebastião Da Grama,,
211,Natural Sidamo Twakok G1,,,,,,
212,Costa Rica Cumbres Del Poas “Perla Negra” Natural,,,,Sabanilla De Alajuela Growing Region,,
213,Ethiospro Blend,,,,,5.22,
214,Ethiopia Gede Natural,,,,Shakiso District,,
215,Gesha Village Lot #25,,,,,21.24,
216,YCFCU Banko Gotiti Coop G1,Taokas Coffee,,,,,
217,Yemen Haraaz,,,,Central Yemen,10.29,
218,Costa Rica Perla Negra,,,,,,
219,Espresso 1849 Blend,States Coffee & Mercantile,,,,,
220,Ethiopia Deri Kochoha,,,,West Guji Zone,,
221,Guatemala Finca Las Terrazas,,,,Huehuetenango Department,,
222,Suyusama Program Colombia,,,,,,
223,Static Peru Valle de Chingama Peru,,,,Cajamarca Region,4.1,
224,Static Chirinos Peru,,,,,,
225,Kenya Muranga Gondo,,,,Murang'A County,,
226,Costa Rica Esteban Zamora,,,,,,
227,Kenya,,,,,,
228,Finca El Socorro Maracaturra,PT's Coffee Roasting Co.,,,Palencia,,
229,Ethiopia Kochere Debo Washed Gellana,,,,,,
230,Guatemala Huehuetenango Miralvalle Washed,Crown & Fancy,,,Huehuetenango Growing Region,5.36,
231,Ethiopia Gotiti Natural,,,,,8.21,
232,Ethiopia Kayon Mountain Natural,,,,,,
233,Colombia Jairo Alcaraz,,,,Antoquia,,
234,Cream Tabby Espresso Blend,MoonMoon Coffee,,,,5.69,
235,Esmeralda Estate Panama Geisha,Difference Coffee,,England,,111.11,
236,Ethiopia Girma Eshetu,,,,Bita Genet District,,
237,Organic Dulce de Guatemala,,,,,3.51,
238,Karimikui Espresso,,,,,,
239,Colombia Finca La Ilusion Rosevel Ortiz Escarpeta Natural Espresso,,,,San Agustín Growing Region,,
240,Guatemala Finca El Limonar Hugo Chavez Mendez,,,,,,
241,Colombia Finca La Loma Antonio Gualguan,,,,,,
242,Granja La Esperanza Tres Dragones Natural,,,,,6.91,
243,Costa Rica Tirra Natural,,,,,,
244,Gatugi Triple,,,,,11.76,
245,Sulawesi Toarco,,,,,,
246,Ethiopia Yirgacheffe Natural Espresso,,,,,,
247,Ethiopia Yirgacheffe Natural,,,,,,
248,Guatemala Finca El General Lot ALT8 Espresso,,,,Acatenango Growing Region,,
249,Green Dolphin Blend Espresso,,,,,,
250,Brazil Conquista,Good Coffee Club,,,Bahia,,
251,Kenya AA Kirinyaga,,,,,,
252,Ethiopia Limu,,,,Limu Woreda,,
253,Ethiopia Bensa Segra Natural,,,,,,
254,Ethiopia Hambela Natural,,,,,,
256,Guatemala Huehuetenango La Garita,,,,Huehuetenango,,
257,Roba Ethiopia (Chelbessa),,,,,,
258,Ethiopia Hambela Hasam,,,,,,
259,Kenya Kabare AA,,,,,,
260,El Salvador Finca Nombre de Dios Honey,Red Rock Roasters,,,Metapan,,
261,Ethiopia Gera Limmu Oromia,,,,,,
262,Kenya Kabare Konyu,,,,,,
263,Costa Rica Francisco Ruiz,,,,,,
264,Alemu Bukato Espresso,,,,,,
265,Alemu Bukato Ethiopia,,,,,,
266,ASOPEP Colombia,,,,Planadas,,
267,,,,,,4.34,
268,Guachepelin Costa Rica,,,,,,
269,Berlina Geisha,,,,Horqueta,,
270,Karimikui Kenya,,,,,,
271,Kenya Baragwi Thimu Peaberry,,,,,,
272,Kariru Kenya,,,,,,
273,Esmeralda Estate Porton Geisha Natural,,,,,,
274,Kenya Kiambu,,,,,4.92,
275,Kenya Gatuya,,,,,,
276,,,,,Bench-Maji Zone,,
277,Kenya Gatuyaini,Evans Brothers Coffee Roasters,,,,,
278,Kenya AA Top Lot,,,,,,
279,Kenya Kainamui,Sweet Bloom Coffee Roasters,,,,,
280,Kenya Kariru PB,,,,,,
281,Organic Ethiopia Sidama Natural,Desert Sun Coffee Roasters,,,,,
282,Kenya Mwiria,,,,,,
283,Colombia Narino Excelsio,,,,,,
284,Ethiopia Washed Phoenix Special “Muse”,Simon Hsieh's Aroma Roast Coffees,,,,9.91,
285,Kenya AB Phoenix Special “Glory”,,,,,10.62,
286,Cupid Blend,709 Boutique Coffee,,,,,
287,Ethiopia Natural Phoenix Special “Andromeda” Espresso,,,,Oromia Region,14.16,
288,Kenya Ritho FCS Handege Factory AB,,,,Thika Growing Region,,
289,Ethiopia Yirgacheffe Botabaa Washed,,,,,,
290,Foxfire Espresso,Vienna Coffee Company,,,,,
291,Ethiopia Misti Valley,,,,,,
292,Ethiopia Guji,North Coast Coffee Roasting,,,,4.76,
293,Kenya Kabingara,,,,,,
294,Guatemala Huehuetenango,,,,,3.6,
295,Adanech Ethiopia Guji,Steady State Roasting Company,,,,,
296,El Salvador Loma La Gloria Black Honey,,,,El Boquerón Growing Region,,
297,,,,,,36.65,
298,Kenya Konyu,Branch Street Coffee Roasters,,,,,
299,Guatemala Finca San Gerardo,,,,Lake Amatitlán Area,,
300,Hacienda La Esmeralda Cabana Geisha Natural,,,,,,
301,Finca La Aurora Camilina Geisha,,,,,19.84,
302,Twenty Five,,,,,,
303,Kanyonyi Coffee Blend,Gorilla Conservation Coffee,,Uganda,Buhoma,3.96,
304,Costa Rica Microlot Series San Cristobal Natural,,,,Llano Bonito,,
305,La Union (Colombia),,,,,4.54,
306,Colombia Luis Alberto Montoya Antioquia,,,,Antioquia,,
307,Guatemala Octavio Lopez,,,,,,
308,Kibugu Kenya,,,,,,
309,Poseidon Blend Espresso,GK Coffee,,,,4.23,
310,Kenya Gikirima Kibugu,,,,,,
311,Kenya AA Top Gachatha,,,,,9.6,
312,Ethiopia Yirgacheffe G1 Chachale Natural,,,,,8.0,
313,Quejina Guatemala,,,,,,
314,Christmas Blend,,,,,,
315,Thanksgiving Blend,,,,,,
316,Elida Estate Geisha Natural Dragonfly Reserve,,,,,30.86,
317,Costa Rica Geisha Honey COE 2018 2nd Place,,,,,,
318,Guatemala Pacamara Natural,,,,,20.53,
319,La Providencia Guatemala Maragogype,,,,,,
320,Finca Insul Guatemala Pacamara,Augie's Coffee Roasters,,,,,
321,Cuxinales Guatemala,,,,Antigua Growing Region,,
322,Nicaragua La Benedicion Pacamara,Hale Coffee Company,,,La Providencia,5.62,
323,Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,,,,Acatenango,7.08,
324,El Salvador Finca El Cerro Pacamara Black Honey,,,,,,
325,,,,,Matagalpa Growing Region,,
326,El Salvador Finca Himalaya Pacamara,Equator Coffees,,,Apaneca,,
327,Flowery Nekisse,Ho Soo Tsai,,,,7.94,
328,Colombia El Obraje Gesha,Joe Van Gogh Coffee,,,,,
329,Holiday Sweet Blend,,,,,,
330,Camilina Geisha,,,,,,
331,Mama Cata Geisha Washed,,,,Alto Quiel,15.87,
332,Panama Finca Lerida Geisha Black Honey,,,,Jaramillo,11.75,
333,Panama Finca Lerida Geisha Washed,,,,,,
334,Wei Rong Blend,Mi's Cafe,,,,,
337,Perla del Otún,,,,,,
338,Decaf Classic Espresso,,,,,,
339,Colombia El Sauce,,,,Santander,,
340,Kiunyu Peaberry,,,,,7.64,
341,El Aguila SL28 El Salvador,,,,Santa Ana Region,,
342,Nano Challa,,,,Jimma Zone,,
343,Costa Rica Volcán Azúl Single-Origin Espresso,,,,Poás Volcano Region,6.32,
345,Select Reserve Guatemala El Aceituno “El Bonito” Microlot,,,,Jutiapa Department,,
346,Foothills Series Hambela Ethiopia,,,,Alaka District,,
347,Ethiopia Gugi,Topeca Coffee Roasters,,,,,
348,Kenya Murunga New Gatanga FCS Mukurwe Factory AB,,,,,,
349,Brazil Recreio Selectivo,,,,São Sebastião De Grama,,
350,Ethiopia WORKA,,,,,,
351,Guatemala Hunapu,,,,,,
352,Ethiopia Banko Dhadhato Washed,,,,,,
353,Kenya Rugeto Peaberry,,,,,,
354,Gayo Aceh Sumatra,,,,Aceh Growing Region,,
355,Kenya Nyeri Nudurutu Factory AB,,,,,,
356,Ethiopia Kochere Washed Saona Lot,,,,,,
357,Ethiopia Guji Natural Dasaya,,,,,,
358,Auromar Geisha Natural,,,,,,
360,Kith & Kin,,,,,,
361,El Salvador Pacamara,,,,Chalatenango,,
362,Guji Oraga Tabe,Steadfast Coffee,,,,,
363,Bombe Natural Sidama,Broadsheet Coffee,,,,,
364,Ethiopia Yirgacheffe Botabaa G1,De Clieu Coffee,,,,,
366,Ethiopia Haro Wachu,Turnstile Coffee Roasters,,,,,
367,Banco Gotete Ethiopia,,,,,,
368,Ethiopia Yirgacheffe Kochere,Blues Brew Coffee,,,,6.4,
369,ASOPAP Colombia,,,,,4.67,
371,Espresso,Doi Chaang Coffee,,,Northern Thailand,2.4,
372,Kenya Ruthaka Peaberry,Temple Coffee Roasters,,,,,
373,Ethiopia Gora Kone Sidamo,,,,,,
374,Specialty Coffee Blend Espresso,Choosy Gourmet,,,,1.77,
375,Honduras Las Flores Parainema,Café Grumpy,,,Santa Bárbara,,
376,Kivu DR Congo,,,,,4.97,
377,Ethiopia Yirgacheffe Awassa,,,,,,
378,Panama Ninety Plus Perci Lot 50,,,,,,
379,Colombia Sidra,Kaffetre,,,,,
380,Colombia Geisha,,,,,7.61,
381,Rwanda Kanzu,,,,,,
382,Ethiopia Kochere Natural,,,,,,
383,Kenya Thirikwa Single-Origin Espresso,,,,,,
384,Mocha Java Blend Fair Trade Organic,Thanksgiving Coffee Company,,,,,
385,,Origin Coffee Roasters,,,,,
386,Moonbow Decaf,,,,South America,,
387,Colombia La Guamera Honey,,,,Caldas Department,,
388,Moonbow Decaf Espresso,,,,,,
390,Rwanda Mushonyi Natural,,,,Rustiro District,,
391,Rwanda Mushonyi,,,,,,
392,Ethiopia Washed Kochere,Speedwell Coffee,,,,,
393,Feku Double,,,,,,
394,Ethiopia Tadese Yonka,Gracenote Coffee Roasters,,,,,
395,Nano Challa Ethiopia,Tandem Coffee,,,,,
396,Kenya AB,Vermont Artisan Coffee & Tea,,,,,
397,Ethiopia Hambela Natural Organic,,,,,,
398,Tanzania Ngorongoro Ridge Peaberry,,,,Arusha Region,,
399,Ecuador Los Eucaliptos,,,,Chinchipe,,
400,,,,,Pichincha Province,,
401,Ecuador Finca Carolina Fausto Romo,,,,,,
402,Geisha Pasco Oxapampa Peru,,,,Pasco Growing Region,12.09,
403,Finca Tasta Peru,,,,Satipo Province,,
404,Peru La Salina,,,,Jaén Province,,
405,Bolivia Yungas Caranavi Finca Las Alasitas Peaberry,Plat Coffee Roastery,,,Caranavi Province,12.72,
407,100% Kona Bourbon,,,,,,
408,Kona Naturals,,,,,,
409,Rwanda Rulindo Tumba,,,,Rulindo,,
410,Guatemala Quejina,,,,Region Concepción Huista,,
412,Costa Rica Las Lajas Black Honey,,,,,,
413,Eaagads Estate Kenya,,,,,,
415,Ethiopia Yirgacheffe G1,Santos Coffee,,,,3.56,
416,Kenya Karindundu AA Small Lot Reserve,,,,,,
417,Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,,,,,6.8,
418,Ketiara Sumatra,,,,,,
419,Sumatra Lintong,Peach Coffee Roasters,,,,,
420,Ethiopia Natural Guji Hambela G1 Bishan Fugu,,,,,,
421,Tanzania Tarime AB,,,,Mara Growing Region,,
422,El Salvador Cerro Las Ranas Honey Espresso,,,,,2.55,
423,Blossom Single Origin Espresso,,,,Bench Maji Zone,21.58,
424,Panama Baru Geisha Black,,,,,15.58,
425,Kenya Safari AB Top,,,,Kirinyaga County,16.29,
426,No. 79 Blend Espresso,,,,,2.97,
427,Colombia Monteblanco Purple Caturra Natural,,,,Palestina Region,,
428,Brazil Para Ela Natural,,,,Campos Alto District,4.69,
430,Ethiopia Harrar,Jampot Poorock Abbey,,,Harar (Also Harrar) Growing Region Of Eastern Ethiopia,,
431,KonAroma Direct Trade Kona,,,,Kona Growing District,10.58,
432,Peru Chirinois,Wild Goose Coffee Roasters,,,San Ignacio Province,,
433,Ecuador Finca La Papaya,,,,Loja Province,6.39,
434,Peru Natural Utcubamba,,,,Utcubamba Province,,
435,Kenya Murang’a Githiga AA,,,,Muranga District,5.95,
436,Borneo Sabah Arabica,,,,Sabah State,9.96,
437,Colombia,,,,Salgar Municipality,3.82,
438,D.R. Congo Muungano Co-Op,,,,South Kivu Province,,
439,No. 6 Espresso Blend,The Curve Coffee Roasting,,,,3.47,
440,Ethiopia Sidama Shantewene,Cafe Virtuoso,,,,,
441,Kivu Belt Lot 32 Espresso,,,,Nyamasheke District,,
442,Kivu Belt Lot 32 Rwanda,,,,,,
443,Gesha Rebecca Natural,Small Eyes Café,,,,,
445,Café Granja La Esperanza Sudan Rume Natural,,,,,,
446,La Papaya Ecuador,,,,,,
447,Aponte Colombia,,,,,,
449,Boru Batak Sumatra,Notch Coffee,,,,,
450,Sumatra Gayo King Mandheling,,,,,8.38,
451,Huta Raja Natural,Giv COFFEE,,,Simalungun Regency,,
452,Sumatra Pantan Musara,,,,,,
453,ASOPCAFA Colombia,,,,,,
454,Natural Burundi Nemba,,,,,,
455,Ka’u Champagne Natural,,,,,17.59,
456,Monarch Gesha,,,,,37.04,
457,Puna Barrel-Aged,Big Island Coffee Roasters,,,Puna District,10.93,
458,Kona Peaberry,,,,Kona District,10.23,
459,Laura’s Reserve SL-28,,,,,28.2,
460,Ka’u Natural,Nine Point Coffee,,,,21.6,
461,Maui Kupa’a Orange Bourbon,,,,Kula,,
462,Honey Typica,Rusty's Hawaiian,,,,,
463,Ka’u Typica Natural,Three Chairs Specialty Turkish Coffee,,,,,
464,Estate-Grown Mamo,Greenwell Farms,,,Kealakekua,22.05,
465,Colombia Las Joyas: Fidencio Martinez Lot,Beanfruit Coffee Co.,,,,,
466,Colombia Tolima Monteverde Estate Natural Wush Wush,Dou Zhai Coffee & Roast,,,,17.07,
467,Ethiopia Oromia Guji Washed,,,,,8.53,
468,Yemen Matari,Baba Java Coffee,,,Bani Matar Growing Region,,
469,Crema de Dolce Espresso,,,,,,
470,Espresso Classico,,,,,3.81,
471,,,,,,3.99,
472,Old Crow Cuppa Joe,,,,,,
473,Ethiopia Sidamo Sasaba,,,,,,
474,Zambia Kateshi Natural Process,,,,,,
475,Ethiopia Gedeb Worka Sakaro,,,,,9.39,
476,La Belleza Colombia,,,,San Augustin,,
